fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1685,car,0.92,tensor(1.),1339,268,1846,625,"SSS
",0.9,307,266,425,301,"SSS
"
1685,car,0.88,tensor(2.),1011,304,1151,407,,0,0,0,0,0,
1685,car,0.74,tensor(3.),1151,308,1209,351,,0,0,0,0,0,
1686,car,0.91,tensor(1.),1350,270,1885,633,,0.9,331,276,454,312,
1686,car,0.89,tensor(2.),1004,302,1152,408,"Peon Ly
",0.26,39,62,75,76,"Peon Ly
"
1686,car,0.73,tensor(3.),1151,308,1209,352,,0,0,0,0,0,
1686,car,0.62,tensor(4.),1341,324,1381,352,,0,0,0,0,0,
1687,car,0.92,tensor(1.),1362,266,1919,648,,0.91,356,294,489,330,
1687,car,0.86,tensor(2.),1000,303,1150,410,"pene Lv,
",0.29,39,61,76,77,"pene Lv,
"
1687,car,0.72,tensor(3.),1150,308,1208,352,,0,0,0,0,0,
1688,car,0.92,tensor(1.),1375,267,1918,657,"Ss
",0.8,387,304,530,344,"Ss
"
1688,car,0.87,tensor(2.),993,301,1144,411,"Peon LY
",0.17,41,65,77,79,"Peon LY
"
1688,car,0.7,tensor(3.),1150,308,1208,353,,0,0,0,0,0,
1689,car,0.93,tensor(1.),1387,265,1918,673,,0.82,424,319,531,367,
1689,car,0.84,tensor(2.),989,302,1143,412,,0.38,39,64,78,80,
1689,car,0.7,tensor(3.),1150,308,1209,354,,0,0,0,0,0,
1689,car,0.62,tensor(4.),1382,322,1420,359,,0,0,0,0,0,
1690,car,0.92,tensor(1.),1402,263,1918,691,,0.89,465,338,516,386,
1690,car,0.88,tensor(2.),980,301,1139,414,"yeose Ly
",0.3,42,66,82,82,"yeose Ly
"
1690,car,0.71,tensor(3.),1149,308,1208,354,,0,0,0,0,0,
1691,car,0.92,tensor(1.),1419,262,1918,716,,0,0,0,0,0,
1691,car,0.87,tensor(2.),973,299,1138,416,"yess Uv
",0.44,43,69,84,85,"yess Uv
"
1691,car,0.69,tensor(3.),1149,307,1208,355,,0,0,0,0,0,
1692,car,0.92,tensor(1.),1434,257,1918,732,"nti} | ia We ee,
",0.13,237,0,444,23,"nti} | ia We ee,
"
1692,car,0.86,tensor(2.),970,300,1137,420,"goss LY
",0.34,40,69,82,86,"goss LY
"
1692,car,0.72,tensor(3.),1147,307,1208,356,,0,0,0,0,0,
1692,car,0.67,tensor(4.),1416,322,1473,376,,0,0,0,0,0,
1693,car,0.94,tensor(1.),1452,258,1919,758,"dt 7 oe
",0.3,261,0,424,17,"dt 7 oe
"
1693,car,0.89,tensor(2.),963,299,1131,423,"5058 LYY,
",0.36,43,71,85,88,"5058 LYY,
"
1693,car,0.72,tensor(3.),1147,307,1209,356,,0,0,0,0,0,
1693,car,0.68,tensor(4.),1430,322,1497,378,,0,0,0,0,0,
1694,car,0.94,tensor(1.),1473,258,1919,783,"ris =
",0.55,274,0,401,15,"ris =
"
1694,car,0.84,tensor(2.),957,296,1132,425,"$9088 LY.
",0.5,41,75,85,92,"$9088 LY.
"
1694,car,0.74,tensor(3.),1430,322,1511,381,,0,0,0,0,0,
1694,car,0.71,tensor(4.),1147,307,1209,357,,0,0,0,0,0,
1695,car,0.93,tensor(1.),1497,257,1918,818,"= =
",0.13,277,1,378,15,"= =
"
1695,car,0.87,tensor(2.),949,297,1134,425,"$9059 LY
",0.49,43,75,87,93,"$9059 LY
"
1695,car,0.73,tensor(3.),1432,321,1511,382,,0,0,0,0,0,
1695,car,0.72,tensor(4.),1146,306,1209,357,,0,0,0,0,0,
1695,car,0.61,tensor(5.),1343,322,1385,352,,0,0,0,0,0,
1696,car,0.9,tensor(1.),1523,256,1919,826,,0,0,0,0,0,
1696,car,0.8,tensor(2.),940,296,1120,428,"£9058 LYY,
",0.5,44,79,91,95,"£9058 LYY,
"
1696,car,0.74,tensor(3.),1433,321,1511,383,,0,0,0,0,0,
1696,car,0.7,tensor(4.),1147,307,1209,357,,0,0,0,0,0,
1697,car,0.91,tensor(1.),1548,256,1918,766,,0,0,0,0,0,
1697,car,0.86,tensor(2.),933,296,1115,429,"g9059 LYY
",0.62,43,81,91,98,"g9059 LYY
"
1697,car,0.71,tensor(3.),1432,321,1512,383,,0,0,0,0,0,
1697,car,0.67,tensor(4.),1145,307,1209,358,,0,0,0,0,0,
1698,car,0.93,tensor(1.),1574,256,1918,762,"6, — i _l—OT EE
",0.65,164,0,300,14,"6, — i _l—OT EE
"
1698,car,0.82,tensor(2.),924,296,1109,433,"£5059 LY
",0.72,45,82,93,100,"£5059 LY
"
1698,car,0.72,tensor(3.),1432,321,1512,383,,0,0,0,0,0,
1698,car,0.71,tensor(4.),1145,306,1209,359,,0,0,0,0,0,
1699,car,0.9,tensor(1.),1605,253,1919,760,"st = = a
",0.24,76,1,268,24,"st = = a
"
